,Question,Answer,Filename
15,Who is a product seller ?,"A product seller is a person engaged in the business of importing, selling, distributing, leasing, installing, preparing, packaging, labelling, marketing, repairing, maintaining, or otherwise commercially placing a product. This includes:
- Manufacturers who also sell products,
- Service providers, excluding:
 Sellers of immovable property, except those engaged in selling constructed houses or constructing homes or flats,
Providers of professional services where the sale or use of a product is incidental, with the essence of the transaction being the provision of opinion, skill, or services,
Persons who:
Solely act in a financial capacity regarding the product sale,
Are not manufacturers, wholesalers, distributors, retailers, direct sellers, or electronic service providers,
Lease a product without having a reasonable opportunity to inspect for defects, under a lease arrangement where selection, possession, maintenance, and operation are controlled by someone other than the lessor.",General
16,What are the Consumer Dispute Redressal Agencies?,"Consumer Disputes Redressal Agencies, established under the Consumer Protection Act, are quasi-judicial bodies offering prompt and affordable resolution to consumer grievances. They operate at three levels: District, State, and National, known respectively as District Commission, State Commission, and National Commission.",General
17,What is CCPA?,"CCPA stands for the Central Consumer Protection Authority. It is an institution established by the Central Government under the provisions of the Consumer Protection Act to regulate various aspects related to consumer rights and protection. The CCPA has been granted powers to:
Regulate Matters: The CCPA regulates matters pertaining to the violation of consumer rights, unfair trade practices, and false or misleading advertisements that are detrimental to the interests of the public and consumers.
Protect Consumer Rights: The primary objective of the CCPA is to promote, protect, and enforce the rights of consumers as a collective class. This includes safeguarding consumers against deceptive practices, ensuring fair treatment, and upholding their rights in commercial transactions.A complaint about violations of consumer rights, unfair trade practices, or misleading advertisements can be made to the District Collector, Commissioner of a regional office, or the Central Authority. Grievances Against Misleading Advertisements (GAMA) - You can register a complaint along with a copy / video / audio of such advertisement through the web portal of the GOI at http://gama.gov.in to bring it to the notice of the Government",General
18,Can a person buying goods or services for a business purpose make a complaint ?," Under the Consumer Protection Act of 2019, individuals purchasing goods or services for business purposes cannot file complaints unless they are buying goods or using services solely for the purpose of self-employment for their livelihood. 
Any goods purchased in the course of business on behalf of their employer or company in which they have an interest, would not be covered under consumer protection. Similarly, any goods or services purchased in pursuit of a principal client relationship on behalf of a business would also not be covered by consumer protection. For example, if a person buys 10 laptops from a manufacturer on behalf of his company or place of work, that would be buying goods for a business purpose. Any issue arising out of this purchase will not be covered under the Consumer Protection Act, 2019.
However, if the goods or services are purchased in the course of self-employment for pursuit of livelihood, consumer protection law will apply to the goods and/or services purchased. For example, a self-employed carpenter purchasing a drill for his work would be able to make use of consumer protection law with respect to his purchase of the drill.",General
19,Can someone availing of public services make a complaint against the government under Consumer Protection Act?,"When the government provides services as a public authority, such as delivering public services to all citizens, no claims can be made under consumer protection law. This is because the government is not considered a seller or service provider in these cases. For example, a person cannot use consumer protection laws to address issues like delayed Income Tax refunds or dissatisfaction with the work of a municipal authority.
However, if services or goods are provided by a government-owned entity and a fee is paid for these services or goods, then consumer protection laws can apply. In such cases, the government-owned entity acts as a seller or service provider. For example, if someone has paid for services like railway tickets or purchased goods from a government-run shop, they can file a complaint under consumer protection law for any deficiencies or issues with the service or goods provided.",General
20,Can I claim compensation if the product itself is damaged?,"No, compensation cannot be claimed solely for damage to the product itself under product liability.",General
21,Who can be liable in a product liability action?,"You can file a product liability claim against various parties involved in the supply chain, including:
Manufacturer: The entity responsible for producing the product.
Product Service Provider: Any entity that provides a service related to the product, such as installation or maintenance.
Product Seller: The entity that sells the product to consumers.
Depending on the circumstances of the case, you may choose to hold one or more of these parties responsible for any harm caused by the product.",General
22,What grounds can I claim compensation for the product manufacturer?,"You can claim compensation from a product manufacturer if, in a product liability action under Section 84 of the Consumer Protection Act, 2019:

1. The product has:
   a. A manufacturing defect,
   b. A design defect,
   c. Deviation from manufacturing specifications,
   d. Failed to conform to the express warranty, or
   e. Lacked adequate instructions or warnings regarding proper usage to prevent harm or misuse.

2. The manufacturer can still be held liable in a product liability action even if they prove they were not negligent or fraudulent in providing an express warranty for the product",General
23,What grounds can I claim compensation for a product service provider?,"A product service provider can be held liable in a product liability action if:
a. Faulty, Imperfect, or Deficient Service: The service provided was faulty, imperfect, deficient, or inadequate in quality, nature, or manner of performance as required by law, contract, or otherwise.
b. Act of Omission, Commission, or Negligence: The service provider committed an act of omission, commission, negligence, or consciously withheld information that caused harm.
c. Failure to Provide Adequate Instructions or Warnings: The service provider did not issue adequate instructions or warnings to prevent harm.
d. Non-Conformity to Express Warranty or Contract Terms: The service did not conform to express warranty or the terms and conditions of the contract.
In these situations, the product service provider can be held liable for any harm caused to the consumer.",General
24,When can I claim compensation from the seller?,"A product service provider can be held liable in a product liability action if:
a. Faulty, Imperfect, or Deficient Service: The service provided was faulty, imperfect, deficient, or inadequate in quality, nature, or manner of performance as required by law, contract, or otherwise.
b. Act of Omission, Commission, or Negligence: The service provider committed an act of omission, commission, negligence, or consciously withheld information that caused harm.
c. Failure to Provide Adequate Instructions or Warnings: The service provider did not issue adequate instructions or warnings to prevent harm.
d. Non-Conformity to Express Warranty or Contract Terms: The service did not conform to express warranty or the terms and conditions of the contract.
In these situations, the product service provider can be held liable for any harm caused to the consumer.",General
25,When can I claim compensation from the seller?,"You can claim compensation from a seller who is not the manufacturer in a product liability action if:
The seller exercised substantial control over the designing, testing, manufacturing, packaging, or labeling of the product that caused harm.
The seller altered or modified the product, and such alteration or modification was a substantial factor in causing harm.
 The seller provided an express warranty for the product independent of any warranty made by the manufacturer, and the product failed to meet the seller's warranty, resulting in harm.
The product was sold by the seller, but the identity of the manufacturer is unknown, or if known, legal processes cannot be served against them.
The seller is not subject to Indian law, or any orders passed cannot be enforced against them.
The seller failed to exercise reasonable care in assembling, inspecting, or maintaining the product, or failed to provide warnings or instructions from the manufacturer regarding product dangers or proper usage, and this failure directly caused harm.",General
26,What are the defences available to a defendant in a product liability action?,"In a product liability action, the following defences may be available to the defendant:
Non-Consumer Status: The complainant is not considered a 'consumer' under the Consumer Protection Act 2019, meaning they obtained the goods for resale or commercial purposes, or received the product free of charge.
Misuse, Alteration, or Modification: The product was misused, altered, or modified by the consumer, which contributed to the harm.
Obvious or Commonly Known Danger: The danger posed by the product is obvious or commonly known to the user or consumer, or should have been known considering the characteristics of the product.
Warnings or Instructions: The product manufacturer provided warnings or instructions to the employer of the consumer, and the harm resulted from the employer's use of the product.
Component of End Product: The product was sold as a component of an end product, and necessary warnings or instructions were provided by the manufacturer, but the harm was caused by the end product's use.
Expert Supervision: The product was legally meant to be used or dispensed only by or under the supervision of an expert, and the manufacturer provided reasonable warnings or instructions to such expert or class of experts.
Consumer's State While Using the Product: The consumer was under the influence of alcohol or a prescription drug not prescribed by a medical practitioner while using the product.
Lack of Harm: Even if the product was defective, it did not cause any harm to the consumer who used it.",General
27, Under what conditions is a “marketplace” responsible for product liability?,"A ""marketplace"" is generally not responsible for product liability issues if it merely offers a platform for buying and selling products. However, according to the CPA 2019, a marketplace may be liable in a product liability claim if it provides extra services or functions as a product manufacturer or service provider. Examples include situations where the marketplace:
a) Offers its own separate warranty for a product,
b) Provides additional services, such as installation, for a product.",General
28,Who is responsible if several parties are involved in the manufacturing of a product?,"In cases involving multiple manufacturers, liability is determined by the commission on a case-by-case basis. Factors considered include which component caused the defect and whether proper instructions or warnings were provided. This is especially relevant for products like home appliances and automobiles with parts from different manufacturers. Courts have attempted to identify the responsible party in past cases with multiple parties involved. If assigning liability to a single party is not possible, all involved parties may be held jointly and severally liable.",General
29,Who can be held liable for a misleading advertisement?,"Any of the following parties can be held liable for a misleading advertisement:
Manufacturers: The producers of the product being advertised.
Traders: Individuals or businesses involved in the sale and distribution of the product.
Advertising Agencies: Agencies responsible for creating and promoting the advertisement.
Celebrity Endorsers: Celebrities or public figures who endorse and promote the product.
Publishers: Media outlets and platforms that disseminate the advertisement to the public.
These parties can be held accountable for any false claims, deceptive practices, or misleading information presented in advertisements.",General
30,What is the penalty for someone found guilty of the offence of misleading advertisement?,"For the offence of misleading advertisement, if found detrimental to consumer interests, the Central Authority can levy a penalty of up to Rs. 10,00,000 (Rupees Ten Lakhs) on the manufacturer, escalating to Rs. 50,00,000 (Rupees Fifty Lakhs) for subsequent violations. Moreover, under the Consumer Protection Act 2019, manufacturing or service providers engaging in false advertising can face imprisonment for up to 2 years, extending to 5 years for repeat offences.
Similarly, the Central Authority can impose a penalty of up to Rs. 10,00,000 (Rupees Ten Lakhs) on the endorser if the misleading advertisement harms consumer interests. Additionally, the endorser may be barred from endorsing the specific product or service for up to one year, which could extend to three years for subsequent violations. However, endorsers exercising due diligence to verify the advertisement's claims regarding the endorsed product or service are not liable to penalties.",General
31,"Before resorting to litigation, is there any process that can be pursued in order to claim compensation?","Yes, before resorting to litigation, an aggrieved individual can take the following steps to claim compensation:
Send a Notice: The individual can send a formal notice to the service provider or seller. This notice should detail:
The defects in the goods or services or the deficiencies in the service
The individual's intention to pursue legal action if the service provider fails to offer compensation
This step allows the service provider an opportunity to rectify the issue or offer compensation, potentially resolving the dispute without the need for litigation.",General
32,Can I be asked to waive the claim under the Act?,"Waiving a claim under the Consumer Protection Act, 2019 (CPA 2019), may be deemed unfair as per the broad definition of unfair contracts outlined in the Act. Additionally, agreements that restrict legal proceedings, such as those preventing parties from enforcing their rights or limiting the time to do so, are void under the Indian Contract Act, 1872, and thus unenforceable. While the issue of waiving claims has not been tested in court, contractual language regarding such waivers should be carefully examined to avoid potential unenforceability under both the CPA 2019 and Indian contract law.",General
33,How do I get my consumer grievances addressed?,"To address your consumer grievance, you have a few options. You can:

Directly send a notice to the product seller or service provider.
Call the National Consumer Helpline at 1800-11-4000 or 1915, available all days except national holidays, from 8:00 AM to 8:00 PM.
Send an SMS to 8800001915, and they will get back to you.
Register your grievance online at https://consumerhelpline.gov.in/user/signup.php.
Register your grievance through the NCH APP or UMANG APP on your mobile phone.
Register your grievance via WhatsApp at https://api.whatsapp.com/send/?phone=918800001915&text&type=phone_number&app_absent=0.
Call the state consumer helpline of your respective state. Here are the contact numbers for various states:
Andhra Pradesh 1800-425-0082 / 1800-425-2977
Arunachal Pradesh	1800-345-3601 
Assam	1800-345-3611 
Bihar	1800-345-6188
Chhattisgarh	1800-233-3663 
Delhi 	011-23379266 
Gujarat	1800-233-0222 ,079-27489945/ 46 
Haryana	1800-180-2087
Himachal Pradesh	1800-180-8087 
Jharkhand	1800-3456-598 
Karnataka	1800-425-9339 ,1967 
Kerala	1800-425-1550 
Madhya Pradesh	155343, 0755-2559778 , 0755-2559993 
Maharashtra	1800-2222-62 
Mizoram	1800-231-1792 
Nagaland	1800-345-3701 
Orissa	1800-345-6724 / 6760 
Puducherry	1800-425-1082,1800-425-1083,1800-425-1084,1800-425-1085
Rajasthan	1800-180-6030 
Sikkim	1800-345-3209 / 1800-345-3236 
Tamil Nadu	044-2859-2828 
Uttar Pradesh	1800-180-0300 
West Bengal	1800-345-2808
Some sectors also have a grievance redressal mechanism or mandate the provider/seller to have a grievance redressal mechanism
You may also file a case against the product seller or service provider in the relevant consumer commission.",General
34,What are the other remedies available for consumers for harm caused to them?,"In addition to filing a complaint before the Consumer Commission, consumers have the option to seek remedies through sectoral regulators. Depending on the sector, consumers can approach the following bodies:
Airlines: Director General of Civil Aviation’s Air Sewa Portal (https://airsewa.gov.in/grievance/grievance-redressal)
Banking: RBI Banking Ombudsman (https://rbi.org.in/Scripts/Complaints.aspx)
Broadband & Internet: Telecom Consumer Complaints Monitoring System (TCCMS) (https://tccms.trai.gov.in/Queries.aspx?cid=1)
Bureau of Indian Standards (BIS): For complaints related to standards of products.
Drugs and Cosmetics: Drug Controller General of India (https://cdsco.gov.in/opencms/opencms/en/About-us/who/)
DTH & Cable Services: Email to ibf@ibfindia.com for general issues and ibf@ibfindia.com for content issues.
Electricity Services: Each state has its regulatory authority. For a list of these, visit https://jercjkl.nic.in/otherjercandserc.html
Financial Services: RBI Banking Ombudsman (https://rbi.org.in/Scripts/Complaints.aspx)
Food and PDS Schemes: https://www.fssai.gov.in/cms/grievance.php
Grievances Against Misleading Advertisements (GAMA): Register a complaint along with a copy/video/audio of the advertisement through the web portal of the Government of India at http://gama.gov.in
Insurance: Use the Bima Bharosa system on the IRDAI Portal (https://bimabharosa.irdai.gov.in/) for registering and monitoring complaints. Email complaints can be sent to complaints@irdai.gov.in. Toll-Free No.: 155255 or 1800 4254 732.
Legal Metrology: Lodge a complaint with the District Legal Metrology Officer or the Commissioner of the respective states. For more information, visit http://consumeraffairs.nic.in/forms/contentpage.aspx?lid=639
Non-Banking Financial Companies (NBFCs): RBI Banking Ombudsman (https://rbi.org.in/Scripts/Complaints.aspx)
Pension Funds: Central Pension Accounting Office (https://cpao.nic.in/grievance_sql/Grievance_form_all.php)
Telecom: Telecom Consumer Complaints Monitoring System (TCCMS) (https://tccms.trai.gov.in/Queries.aspx?cid=1)
Consumers can explore these avenues to seek redressal for grievances related to specific sectors.",General
35,Can I file a consumer complaint using my phone?,"Yes, you can file a consumer complaint online using your phone. One way to do this is by using the UMANG App, which is the National Consumer Helpline’s (NCH) application. Here's how you can file a complaint using the UMANG App:
Download UMANG App: Visit the Google Play Store or the Apple App Store and download the UMANG App.
Log In or Sign Up: Log in if you already have an account, or sign up for a new one.
Search for National Consumer Helpline: In the All Services section of the app, search for the National Consumer Helpline.
Register Grievance: Press the Register Grievance button.
Provide Details: Provide information such as the state and city where the product was purchased, the industry, the firm name, and a description of the grievance.
Submit Complaint: Submit your complaint through the app.
Please note that the process may vary slightly based on the specific features and interface of the UMANG App.",General
36,What is the pecuniary Jurisdiction of the Consumer commissions in India ?,"The pecuniary jurisdiction of each level of the Consumer Commissions in India varies according to the total value of good or services along with the value of the claimed compensation:
District Consumer Disputes Redressal Commission (District Commission): Handles cases where the total value claimed (i.e. total value of goods or services + value of compensation claimed) does not exceed fifty lakh rupees (₹50,00,000).
State Consumer Disputes Redressal Commission (State Commission): Handles cases where the total value claimed exceeds fifty lakh rupees (₹50,00,000), but does not exceed two crore rupees (₹2,00,00,000).
National Consumer Disputes Redressal Commission (National Commission): Handles cases where the value of the goods or services along with the compensation claimed exceeds two crore rupees (₹2,00,00,000).
These jurisdictional thresholds ensure that consumer grievances are addressed efficiently at the appropriate level.",General
37,Where can a consumer case be filed ?,"A complaint must be filed in the District Commission within whose local limits of jurisdiction one of the following applies:
The place of business or residence of the opposite party
The place of business or residence of the complainant
Where the cause of action, wholly or partially, arises",General
38,​​Who can make a complaint?,"A complaint can be made by various parties under the Consumer Protection Act. These include:
A Consumer: Any individual who has purchased goods or services for personal use.
Registered Voluntary Consumer Associations: Any consumer association registered under existing laws.
Central or State Government: Both levels of government can file complaints on behalf of consumers.
The Central Authority: The Central Consumer Protection Authority can initiate complaints to protect consumer rights.
Multiple Consumers (Class Action): Groups of consumers with the same interest can file a complaint collectively, with the permission of the consumer forum.
Legal Heirs or Representatives: In case of a consumer's death, their legal heir or representative can file a complaint.
Parents or Legal Guardians: For a minor consumer, their parent or legal guardian can file a complaint.
These provisions ensure that consumer grievances can be addressed effectively by allowing various representatives to seek redressal.",General
39,What is the procedure to file a complaint before the consumer commission?,"To file a complaint before the Consumer Commission, follow these steps:
Writing the Complaint:
The complaint should be in writing and contain all relevant details.
Specify the aggrieved consumer's details, the service provider or manufacturer's details, and the facts of the matter.
Clearly state the remedy sought.
Filing the Complaint:
Complaints can be filed in person or through an agent.
They can also be sent by registered post along with the required court fee.
Complaints can be filed online at the e-daakhil portal: http://edaakhil.nic.in/.
Submission of Copies:
Normally, three copies of the complaint are required.
One copy is retained for official purposes, one is forwarded to the opposite party, and one is for the complainant.
If there are multiple opposite parties, more copies may be required.
Contents of the Complaint:
The complaint must contain all necessary details of the aggrieved consumer, the service provider, or manufacturer.
Include contact details, place of business, relevant facts of the matter, and the remedy sought.
Attach an affidavit signed and verified by the complainant.
Attach all other relevant documents, such as bill details, mode of payment, and guarantee or warranty cards.",General
40,What is the procedure to file a complaint in the eDaakhil platform?,"Following these steps will ensure that your complaint is filed correctly on the e-Daakhil platform.

Create an Account: If you don't have an account, register on the e-Daakhil portal.
Verify Email: Verify your email address by clicking the link sent to your registered email.
Login: Use your credentials to log in to the portal.
Start New Case: Click on 'File a New Case' from the Filing dropdown menu and select 'Consumer Complaint'.
Accept Disclaimer: Read the disclaimer and click “accept”.
Enter Claim Amount: Enter the compensation amount you are claiming.
Select District: Choose your district and click continue.
Enter Personal Details: Enter your name, address, mobile number, and email address (optional) in the complainant's section.
Enter Opposite Party Details: Enter the name, address, state, and district of the registered address of the opposite party.
Complainant Advocate Details: Enter details of your advocate or leave it blank.
Complaint Summary: Write a gist of the complaint in the Complaint section.
Save and Continue: Click continue to proceed to the next step.
Enter Complaint Details: Enter complainant and opposite party details again and click save and continue.
Upload Documents: Attach your index, complaint, memo of parties, affidavit, and any other evidence. All documents must be signed and notarized.
Review and Submit: Verify the details of your complaint and submit it.
Pay Fees: Pay the fees for your complaint on the pending complaints page.",General
